"lhs","op","rhs","est","se","z","model","time","effect_type","effect","estRef","Bias","RelBiasPercent","Scenario","ScenarioSubtitle","effect_parsed","model_lab","Scenario_plain"
"Y4","~","X3",0.100000000003191,0.0489599678867362,2.04248499987848,"model_clpm_lag2",4,"cross","X[t-1] -> Y[t]",0.0999999999998692,3.32137095604423e-12,3.32137095604858e-09,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","CLPM lag 2","Scenario 0"
"X4","~","Y3",0.14999998385725,0.0585051809567076,2.5638752227473,"model_dpm",4,"cross","Y[t-1] -> X[t]",0.150000000000125,-1.61428749534398e-08,-1.07619166356176e-05,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","DPM","Scenario 0"
"Y4","~","X3",0.100000000793211,0.0560316436598637,1.78470582444902,"model_dpm",4,"cross","X[t-1] -> Y[t]",0.0999999999998692,7.93341684013349e-10,7.93341684014386e-07,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM","Scenario 0"
"X4","~","Y3",0.149999861029419,NA,NA,"model_dpm_free",4,"cross","Y[t-1] -> X[t]",0.150000000000125,-1.38970705443331e-07,-9.26471369621436e-05,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","DPM-free","Scenario 0"
"Y4","~","X3",0.0903041622471412,NA,NA,"model_dpm_free",4,"cross","X[t-1] -> Y[t]",0.0999999999998692,-0.00969583775272802,-9.6958377527407,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","DPM-free","Scenario 0"
"X4","~","Y3",0.150000006252475,0.0525226398818624,2.85591140486969,"model_riclpm",4,"cross","Y[t-1] -> X[t]",0.150000000000125,6.25234980455858e-09,4.16823320303559e-06,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","RICLPM","Scenario 0"
"Y4","~","X3",0.0999999828263847,0.0508870848696519,1.9651348290541,"model_riclpm",4,"cross","X[t-1] -> Y[t]",0.0999999999998692,-1.71734845511029e-08,-1.71734845511254e-05,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM","Scenario 0"
"X4","~","Y3",0.15000001068249,NA,NA,"model_riclpm_free",4,"cross","Y[t-1] -> X[t]",0.150000000000125,1.06823647982868e-08,7.12157653218526e-06,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","RICLPM-free","Scenario 0"
"Y4","~","X3",0.0999999950021434,NA,NA,"model_riclpm_free",4,"cross","X[t-1] -> Y[t]",0.0999999999998692,-4.99772583040237e-09,-4.9977258304089e-06,"Scenario~0","No~Confounding","X[t-1] %->% Y[t]","RICLPM-free","Scenario 0"
"X5","~","Y4",0.149999999999851,0.0491934964133134,3.04918354937779,"model_covariates",5,"cross","Y[t-1] -> X[t]",0.149999999999851,0,0,"Scenario~0","No~Confounding","Y[t-1] %->% X[t]","True Model","Scenario 0"
