"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM lag 2",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.161611546529356
"CLPM lag 2",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.109695006741956
"CLPM lag 2",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.113704974996261
"CLPM lag 2",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.13262067429798
"DPM",2,"Scenario~0","No~Confounding","Scenario 0",1.19277388070538e-08
"DPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.32464848570299e-08
"DPM",2,"Scenario~2","Step","Scenario 2",0.059997143772393
"DPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0632578147901648
"DPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0430157557274314
"DPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0260873228894842
"DPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00620632363137513
"DPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0284515190203632
"DPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00966544088509636
"DPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0168183145339713
"DPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00919717269408083
"DPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.019285397532618
"DPM",3,"Scenario~0","No~Confounding","Scenario 0",5.4907408299858e-09
"DPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",8.85891396647886e-09
"DPM",3,"Scenario~2","Step","Scenario 2",0.0167265248367402
"DPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0378936456198492
"DPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0393573757357675
"DPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00848987937391746
"DPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00684855235340028
"DPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0166643816051085
"DPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00810121710069758
"DPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0098885049229551
"DPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0114014554925525
"DPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0115335848901401
"DPM",4,"Scenario~0","No~Confounding","Scenario 0",8.50442193307568e-09
"DPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",8.03399568909526e-09
"DPM",4,"Scenario~2","Step","Scenario 2",0.0401389708875714
"DPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0161847810809049
"DPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0751212399769193
"DPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0206479736602359
"DPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0156943625411979
"DPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00845636849380821
"DPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0158973704058288
"DPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0354724052972389
"DPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0159371876636473
"DPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0240878229713266
"DPM",5,"Scenario~0","No~Confounding","Scenario 0",8.17000282598901e-09
"DPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",5.74916791820099e-09
"DPM",5,"Scenario~2","Step","Scenario 2",0.0440599817816931
"DPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0425613859735893
"DPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.156078549673957
"DPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0225784695957012
"DPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0174417359301627
"DPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.022616179807429
"DPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0326920569821666
"DPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0581899777056327
"DPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0297404060336271
"DPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0268312651518448
"DPM-free",2,"Scenario~0","No~Confounding","Scenario 0",0.0143225165603883
"DPM-free",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.45245723206707e-09
"DPM-free",2,"Scenario~2","Step","Scenario 2",7.18627290037409e-09
"DPM-free",2,"Scenario~3*italic('A')","Linear","Scenario 3A",4.13447501384235e-09
"DPM-free",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",2.98002748214805e-08
"DPM-free",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0105878889224188
"DPM-free",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0217869504106894
"DPM-free",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00755820424155506
"DPM-free",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.011296383201101
"DPM-free",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0168896324081111
"DPM-free",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0151400866284332
"DPM-free",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.00855207411939269
"DPM-free",3,"Scenario~0","No~Confounding","Scenario 0",0.109149378656967
"DPM-free",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",2.24227835851499e-09
"DPM-free",3,"Scenario~2","Step","Scenario 2",1.07126001194342e-08
"DPM-free",3,"Scenario~3*italic('A')","Linear","Scenario 3A",1.32183612562587e-09
"DPM-free",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",2.17161498901778e-08
