"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"CLPM lag 2",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00419639598792265
"CLPM lag 2",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0205803018441642
"CLPM lag 2",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0197701456478591
"CLPM lag 2",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0165343585494761
"CLPM lag 2",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0302774150404156
"DPM",2,"Scenario~0","No~Confounding","Scenario 0",3.30905701451112e-09
"DPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",5.69376643055897e-10
"DPM",2,"Scenario~2","Step","Scenario 2",0.0216679057139809
"DPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0290063526032076
"DPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00325370995221418
"DPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00254450071429101
"DPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00208780669369717
"DPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00524053471987933
"DPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0077819677104058
"DPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00298971224040349
"DPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.000586364894997998
"DPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0137503954586681
"DPM",3,"Scenario~0","No~Confounding","Scenario 0",8.96987019383122e-09
"DPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",2.19172377469157e-09
"DPM",3,"Scenario~2","Step","Scenario 2",0.0286004600485841
"DPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0434475581046259
"DPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00817527905691155
"DPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0160937923263513
"DPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00544051310162888
"DPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0159537505179963
"DPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0033464142605876
"DPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00149327998164929
"DPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00323503760380345
"DPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.000915698875714924
"DPM",4,"Scenario~0","No~Confounding","Scenario 0",1.1384614292953e-08
"DPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",3.16331900951372e-09
"DPM",4,"Scenario~2","Step","Scenario 2",0.0166250807577668
"DPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0435071692619345
"DPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0121526729605448
"DPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0115085677981819
"DPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0117108192789509
"DPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0218655681260393
"DPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00806909235694885
"DPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0159963240529072
"DPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0027311421057642
"DPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0227001179907673
"DPM",5,"Scenario~0","No~Confounding","Scenario 0",1.13624538111701e-08
"DPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.13446032012909e-08
"DPM",5,"Scenario~2","Step","Scenario 2",0.0123327010223278
"DPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.055795959558145
"DPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0692904884331915
"DPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00964524577630958
"DPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0140636180019872
"DPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0340242981704202
"DPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0226267748532771
"DPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0110448823577585
"DPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0262102655048054
"DPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.00666440925002949
"DPM-free",2,"Scenario~0","No~Confounding","Scenario 0",0.00187965693768993
"DPM-free",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",3.27962839385965e-08
"DPM-free",2,"Scenario~2","Step","Scenario 2",5.57454989114081e-09
"DPM-free",2,"Scenario~3*italic('A')","Linear","Scenario 3A",2.39531033896512e-11
"DPM-free",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",8.37235852868545e-09
"DPM-free",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00471070939446958
"DPM-free",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00172523809949895
"DPM-free",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00670741504922888
"DPM-free",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00789789047592747
"DPM-free",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",2.0101834911912e-06
"DPM-free",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00662346160941003
"DPM-free",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.00876099467255048
"DPM-free",3,"Scenario~0","No~Confounding","Scenario 0",0.0131908677602171
"DPM-free",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",9.43261178887322e-09
"DPM-free",3,"Scenario~2","Step","Scenario 2",8.23144050143831e-09
"DPM-free",3,"Scenario~3*italic('A')","Linear","Scenario 3A",4.27951470094445e-09
"DPM-free",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",1.63559618626685e-09
"DPM-free",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00484144768598156
"DPM-free",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.004064118804308
"DPM-free",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00448687567980843
"DPM-free",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.000544025524388897
"DPM-free",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00310886311647553
"DPM-free",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00318770232579893
"DPM-free",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.00359396468532829
"DPM-free",4,"Scenario~0","No~Confounding","Scenario 0",1.39498740059363e-08
"DPM-free",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",8.78549594185429e-09
"DPM-free",4,"Scenario~2","Step","Scenario 2",3.03152013769736e-08
"DPM-free",4,"Scenario~3*italic('A')","Linear","Scenario 3A",3.2693431059605e-08
"DPM-free",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",2.02724578790558e-09
"DPM-free",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0124062189733902
"DPM-free",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00925014343086208
"DPM-free",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00889629019328808
"DPM-free",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.000887852200453634
"DPM-free",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0259323593036308
"DPM-free",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00358908088441152
"DPM-free",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0271358750584075
"DPM-free",5,"Scenario~0","No~Confounding","Scenario 0",6.39348739228662e-09
"DPM-free",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",2.4050458291569e-09
"DPM-free",5,"Scenario~2","Step","Scenario 2",7.76802554225409e-09
"DPM-free",5,"Scenario~3*italic('A')","Linear","Scenario 3A",1.98563613607039e-08
"DPM-free",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",1.11594507523627e-08
"DPM-free",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0154410911750002
"DPM-free",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.0123202395384368
"DPM-free",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0283964928424573
"DPM-free",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0202696983172934
"DPM-free",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0138080820463039
"DPM-free",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0367538202714785
"DPM-free",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0142752937316737
"RICLPM",2,"Scenario~0","No~Confounding","Scenario 0",7.05722648375318e-09
"RICLPM",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",5.58509848092026e-09
"RICLPM",2,"Scenario~2","Step","Scenario 2",0.0864563365843777
"RICLPM",2,"Scenario~3*italic('A')","Linear","Scenario 3A",0.10220655382463
"RICLPM",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00394897315979797
"RICLPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0385803188701804
"RICLPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00536723672587158
