"Scenario","ScenarioSubtitle","time","XY","R2_C","R2_full","R2_incr"
"Scenario 4A","Part-Step",4,"Y",0.132645965094551,0.423579153956824,0.290933188862273
"Scenario 4A","Part-Step",5,"Y",0.132645965094551,0.419972541889169,0.287326576794618
"Scenario 5A","Part-Linear",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 5A","Part-Linear",2,"Y",0.158165128409995,0.481332928558989,0.323167800148994
"Scenario 5A","Part-Linear",3,"Y",0.132645965094551,0.428656748629445,0.296010783534894
"Scenario 5A","Part-Linear",4,"Y",0.113855337895057,0.385003449399115,0.271148111504059
"Scenario 5A","Part-Linear",5,"Y",0.101793246811512,0.352772349700351,0.250979102888839
"Scenario 5C","Part-Proportional",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 5C","Part-Proportional",2,"Y",0.199526086467353,0.54898576912268,0.349459682655327
"Scenario 5C","Part-Proportional",3,"Y",0.171843936809773,0.505855652852405,0.334011716042632
"Scenario 5C","Part-Proportional",4,"Y",0.258331793986681,0.631459443834451,0.37312764984777
"Scenario 5C","Part-Proportional",5,"Y",0.102236548632935,0.366773806373825,0.264537257740889
"Scenario 4B","Part-Step Opposite",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 4B","Part-Step Opposite",2,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 4B","Part-Step Opposite",3,"Y",0.206506181954306,0.549617770749761,0.343111588795454
"Scenario 4B","Part-Step Opposite",4,"Y",0.206506181954306,0.560410028145076,0.35390384619077
"Scenario 4B","Part-Step Opposite",5,"Y",0.206506181954306,0.564367776140862,0.357861594186556
"Scenario 5B","Part-Linear Opposite",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 5B","Part-Linear Opposite",2,"Y",0.194269146898107,0.53901531173147,0.344746164833363
"Scenario 5B","Part-Linear Opposite",3,"Y",0.206060796696946,0.556465098972215,0.350404302275269
"Scenario 5B","Part-Linear Opposite",4,"Y",0.225787777237903,0.589345045972299,0.363557268734396
"Scenario 5B","Part-Linear Opposite",5,"Y",0.25345008852098,0.637972759648799,0.384522671127819
"Scenario 5D","Part-Proportional Opposite",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 5D","Part-Proportional Opposite",2,"Y",0.190688643505664,0.534753734989898,0.344065091484234
"Scenario 5D","Part-Proportional Opposite",3,"Y",0.191551806143246,0.535251312092632,0.343699505949385
"Scenario 5D","Part-Proportional Opposite",4,"Y",0.201398518232759,0.543068361705648,0.341669843472889
"Scenario 5D","Part-Proportional Opposite",5,"Y",0.2518785088517,0.583084468293218,0.331205959441518
"Scenario 6","Chaotic Effects",1,"Y",0.190412827841388,0.534614133995448,0.34420130615406
"Scenario 6","Chaotic Effects",2,"Y",0.0955597762963652,0.355343585709016,0.259783809412651
"Scenario 6","Chaotic Effects",3,"Y",0.0879718530457331,0.315938624727695,0.227966771681962
"Scenario 6","Chaotic Effects",4,"Y",0.0911355600418676,0.316900587714543,0.225765027672676
"Scenario 6","Chaotic Effects",5,"Y",0.058924819479388,0.254165438473025,0.195240618993637
