"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"DPM",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0122923835133062
"DPM",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00665122476554479
"DPM",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00697411911202748
"DPM",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00564348917331339
"DPM",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00294939844262398
"DPM",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00532701738867087
"DPM",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.0106086083821396
"DPM",3,"Scenario~0","No~Confounding","Scenario 0",6.37945622573155e-09
"DPM",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",5.02605479887204e-09
"DPM",3,"Scenario~2","Step","Scenario 2",0.0202409752422724
"DPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.030749807282185
"DPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0115064295233258
"DPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0115462124071119
"DPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00546526811993777
"DPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0114752729894392
"DPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00331491514098341
"DPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0144250474214176
"DPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00263487247061203
"DPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.00905226595252406
"DPM",4,"Scenario~0","No~Confounding","Scenario 0",8.48652737326465e-09
"DPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",3.2353454685483e-09
"DPM",4,"Scenario~2","Step","Scenario 2",0.0316065479602673
"DPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.031527095896544
"DPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0111926963072228
"DPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0172592020104807
"DPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00828897234537854
"DPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0155677588947112
"DPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00761141925702965
"DPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0113120776968701
"DPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0102818760428113
"DPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0258531956735406
"DPM",5,"Scenario~0","No~Confounding","Scenario 0",8.63383574761737e-09
"DPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.03736617109564e-08
"DPM",5,"Scenario~2","Step","Scenario 2",0.0335639632007302
"DPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.045082125882597
"DPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.0621965863047024
"DPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0186869171177465
"DPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00995821635332736
"DPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0261476257242816
"DPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0175199361704291
"DPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0348433842424782
"DPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.0189884380547548
"DPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0202963519378889
"DPM-free",2,"Scenario~0","No~Confounding","Scenario 0",0.00149255305303505
"DPM-free",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",2.7456172442399e-08
"DPM-free",2,"Scenario~2","Step","Scenario 2",6.1718896262081e-09
"DPM-free",2,"Scenario~3*italic('A')","Linear","Scenario 3A",5.01011978883904e-09
"DPM-free",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",1.93095450384151e-08
"DPM-free",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00431968895380538
"DPM-free",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00308340954714493
"DPM-free",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00479844683838174
"DPM-free",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0059800271497396
"DPM-free",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.000299534231184838
"DPM-free",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00670707415892027
"DPM-free",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.00635205452220308
"DPM-free",3,"Scenario~0","No~Confounding","Scenario 0",0.0172201284625468
"DPM-free",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.96596721276471e-08
"DPM-free",3,"Scenario~2","Step","Scenario 2",5.95447238183722e-09
"DPM-free",3,"Scenario~3*italic('A')","Linear","Scenario 3A",5.58011260479061e-09
"DPM-free",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",1.76404048691472e-08
"DPM-free",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00342691256647456
"DPM-free",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00336984700639238
"DPM-free",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00317430854950333
"DPM-free",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00113004495870698
