"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"DPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00426711156380066
"DPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00897023761496515
"DPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00712093900547764
"DPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0107675174269545
"DPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00293220395351532
"DPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00113771802203676
"DPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00173964260649109
"DPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0195291851762672
"DPM",5,"Scenario~0","No~Confounding","Scenario 0",1.13624538111701e-08
"DPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.43659042994848e-09
"DPM",5,"Scenario~2","Step","Scenario 2",0.00199086412119742
"DPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0104938818277734
"DPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00190636720646752
"DPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00901879623605
"DPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00824720839284936
"DPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0179335016888208
"DPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00861917553483342
"DPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.000390669338997479
"DPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.000859437181902428
"DPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.0169012695540782
"DPM-free",2,"Scenario~0","No~Confounding","Scenario 0",0.00187965693768993
"DPM-free",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",6.48914180723104e-09
"DPM-free",2,"Scenario~2","Step","Scenario 2",2.86587172049213e-09
"DPM-free",2,"Scenario~3*italic('A')","Linear","Scenario 3A",3.5784268048733e-09
"DPM-free",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",9.05873431822357e-11
"DPM-free",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00257636832704421
"DPM-free",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00756368961066672
"DPM-free",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.000803099303811589
"DPM-free",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00626839072292353
"DPM-free",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00197999042426378
"DPM-free",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.000248037626716005
"DPM-free",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.00101143565564642
"DPM-free",3,"Scenario~0","No~Confounding","Scenario 0",0.0131908677602171
"DPM-free",3,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.66045610594523e-09
"DPM-free",3,"Scenario~2","Step","Scenario 2",1.77937029000041e-09
"DPM-free",3,"Scenario~3*italic('A')","Linear","Scenario 3A",2.30805827228231e-09
"DPM-free",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",8.35556068778942e-11
"DPM-free",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00715760815902075
"DPM-free",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00360024269785116
"DPM-free",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",8.36217792135607e-07
"DPM-free",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00789166698083427
"DPM-free",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.000390283871540512
"DPM-free",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.000557298932161665
"DPM-free",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.0324821661931641
"DPM-free",4,"Scenario~0","No~Confounding","Scenario 0",1.39498740059363e-08
"DPM-free",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",3.07690610490408e-09
"DPM-free",4,"Scenario~2","Step","Scenario 2",1.47630227487205e-09
"DPM-free",4,"Scenario~3*italic('A')","Linear","Scenario 3A",1.28527832821135e-09
