"model_lab","time","Scenario","ScenarioSubtitle","Scenario_plain","RMSE"
"DPM",3,"Scenario~2","Step","Scenario 2",0.00365184085393989
"DPM",3,"Scenario~3*italic('A')","Linear","Scenario 3A",0.0100683779298563
"DPM",3,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00469015523049466
"DPM",3,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00675174212891434
"DPM",3,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00595829885562204
"DPM",3,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00638439683324483
"DPM",3,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0123662142297363
"DPM",3,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00269623848336354
"DPM",3,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.000921807263681744
"DPM",3,"Scenario~6","Chaotic~Effects","Scenario 6",0.025999235061001
"DPM",4,"Scenario~0","No~Confounding","Scenario 0",8.48652737326465e-09
"DPM",4,"Scenario~1","Stable~Confounder~Effects","Scenario 1",6.71038789745082e-09
"DPM",4,"Scenario~2","Step","Scenario 2",0.00607018467275336
"DPM",4,"Scenario~3*italic('A')","Linear","Scenario 3A",0.00718300462822113
"DPM",4,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00899364463777717
"DPM",4,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.0090827893083439
"DPM",4,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00677810874697643
"DPM",4,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0083949549379545
"DPM",4,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.0142260655822751
"DPM",4,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.00597672692987849
"DPM",4,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00207918100404091
"DPM",4,"Scenario~6","Chaotic~Effects","Scenario 6",0.0337789944948517
"DPM",5,"Scenario~0","No~Confounding","Scenario 0",8.63383574761737e-09
"DPM",5,"Scenario~1","Stable~Confounder~Effects","Scenario 1",4.34764257053897e-09
"DPM",5,"Scenario~2","Step","Scenario 2",0.00629688906540035
"DPM",5,"Scenario~3*italic('A')","Linear","Scenario 3A",0.00889714836623378
"DPM",5,"Scenario~3*italic('B')","Proportional","Scenario 3B",0.00333557064690415
"DPM",5,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00933718255335003
"DPM",5,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00735205652472552
"DPM",5,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.0132801257047213
"DPM",5,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.016729037295348
"DPM",5,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.0012936281697181
"DPM",5,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00235726840282634
"DPM",5,"Scenario~6","Chaotic~Effects","Scenario 6",0.027344657933192
"DPM-free",2,"Scenario~0","No~Confounding","Scenario 0",0.00149255305303505
"DPM-free",2,"Scenario~1","Stable~Confounder~Effects","Scenario 1",1.01334606008412e-08
"DPM-free",2,"Scenario~2","Step","Scenario 2",2.95516987668605e-09
"DPM-free",2,"Scenario~3*italic('A')","Linear","Scenario 3A",3.74696866560121e-09
"DPM-free",2,"Scenario~3*italic('B')","Proportional","Scenario 3B",3.2453725482264e-10
"DPM-free",2,"Scenario~4*italic('A')","Part-Step","Scenario 4A",0.00536903334951837
"DPM-free",2,"Scenario~4*italic('B')","Part-Step~Opposite","Scenario 4B",0.00618216018056134
"DPM-free",2,"Scenario~5*italic('A')","Part-Linear","Scenario 5A",0.00234116683852815
"DPM-free",2,"Scenario~5*italic('B')","Part-Linear~Opposite","Scenario 5B",0.00828857056911898
"DPM-free",2,"Scenario~5*italic('C')","Part-Proportional","Scenario 5C",0.002722478588165
"DPM-free",2,"Scenario~5*italic('D')","Part-Proportional~Opposite","Scenario 5D",0.00102609744242171
"DPM-free",2,"Scenario~6","Chaotic~Effects","Scenario 6",0.028211300761894
